,count,date
BTC,547,22:52.3
ETH,447,22:52.3
ICO,382,22:52.3
XRP,372,22:52.3
XRB,307,22:52.3
IOTA,300,22:52.3
XLM,211,22:52.3
VEN,198,22:52.3
REQ,184,22:52.3
PRL,161,22:52.3
USD,159,22:52.3
TRX,151,22:52.3
LTC,145,22:52.3
NEO,142,22:52.3
EOS,126,22:52.3
SELL,109,22:52.3
ICX,108,22:52.3
BNTY,107,22:52.3
ADA,83,22:52.3
CMC,83,22:52.3
POE,79,22:52.3
COSS,77,22:52.3
BAT,73,22:52.3
FUD,69,22:52.3
DBC,64,22:52.3
OMG,62,22:52.3
ARK,61,22:52.3
FUN,58,22:52.3
BNB,57,22:52.3
DENT,56,22:52.3
HODL,55,22:52.3
ECC,54,22:52.3
API,51,22:52.3
IMO,50,22:52.3
LEND,50,22:52.3
BCH,49,22:52.3
GDAX,49,22:52.3
TRON,49,22:52.3
XMR,49,22:52.3
XVG,49,22:52.3
GET,48,22:52.3
LINK,48,22:52.3
IDEX,47,22:52.3
SALT,47,22:52.3
ENG,45,22:52.3
CEO,43,22:52.3
DADI,43,22:52.3
SUB,43,22:52.3
GUTS,41,22:52.3
NAV,41,22:52.3
FOMO,40,22:52.3
BUY,39,22:52.3
MOON,39,22:52.3
URL,37,22:52.3
THOR,35,22:52.3
ENJ,34,22:52.3
PAC,34,22:52.3
UTC,33,22:52.3
APPC,32,22:52.3
ATH,31,22:52.3
HST,30,22:52.3
MIT,30,22:52.3
MRT,30,22:52.3
SONM,30,22:52.3
DFS,29,22:52.3
KCS,29,22:52.3
NOT,28,22:52.3
XBY,28,22:52.3
DRGN,25,22:52.3
ELIX,25,22:52.3
KIN,25,22:52.3
WABI,25,22:52.3
POWR,24,22:52.3
SNOV,24,22:52.3
DYOR,23,22:52.3
PBL,23,22:52.3
THIS,23,22:52.3
USDT,23,22:52.3
AND,22,22:52.3
DNA,22,22:52.3
DPY,22,22:52.3
EDIT,22,22:52.3
EUR,22,22:52.3
FAQ,22,22:52.3
GVT,22,22:52.3
LOL,22,22:52.3
PIVX,22,22:52.3
CPU,21,22:52.3
IBM,21,22:52.3
MOD,21,22:52.3
LOT,20,22:52.3
ROI,20,22:52.3
VET,20,22:52.3
GBP,19,22:52.3
KMD,19,22:52.3
QSP,19,22:52.3
WTC,19,22:52.3
DOGE,18,22:52.3
WAVE,18,22:52.3
DGTX,17,22:52.3
ECA,17,22:52.3
RDD,17,22:52.3
USA,17,22:52.3
DAG,16,22:52.3
FIAT,16,22:52.3
WISH,16,22:52.3
III,15,22:52.3
MANA,15,22:52.3
ODN,15,22:52.3
THE,15,22:52.3
WILL,15,22:52.3
ALL,14,22:52.3
CRED,14,22:52.3
LMC,14,22:52.3
MINT,14,22:52.3
ACT,13,22:52.3
GPU,13,22:52.3
ASIC,12,22:52.3
FREE,12,22:52.3
MEW,12,22:52.3
OST,12,22:52.3
BBT,11,22:52.3
BFC,11,22:52.3
PFR,11,22:52.3
POS,11,22:52.3
RPX,11,22:52.3
WAN,11,22:52.3
YOU,11,22:52.3
AION,10,22:52.3
AMA,10,22:52.3
CAP,10,22:52.3
EST,10,22:52.3
GAS,10,22:52.3
ICN,10,22:52.3
NULS,10,22:52.3
PHR,10,22:52.3
QASH,10,22:52.3
RDN,10,22:52.3
UFR,10,22:52.3
VRM,10,22:52.3
ABA,9,22:52.3
AMD,9,22:52.3
BTCP,9,22:52.3
CND,9,22:52.3
DASH,9,22:52.3
DOT,9,22:52.3
ETN,9,22:52.3
EVX,9,22:52.3
SEC,9,22:52.3
THAT,9,22:52.3
UTK,9,22:52.3
VERY,9,22:52.3
VTC,9,22:52.3
ART,8,22:52.3
COLX,8,22:52.3
GTC,8,22:52.3
GTO,8,22:52.3
IMHO,8,22:52.3
MAID,8,22:52.3
NOW,8,22:52.3
OUT,8,22:52.3
QLC,8,22:52.3
RLC,8,22:52.3
SEPA,8,22:52.3
XDN,8,22:52.3
ZCL,8,22:52.3
ALT,7,22:52.3
AMB,7,22:52.3
ATM,7,22:52.3
BUT,7,22:52.3
CAN,7,22:52.3
FOR,7,22:52.3
HAT,7,22:52.3
HOQU,7,22:52.3
HUGE,7,22:52.3
PHO,7,22:52.3
PURA,7,22:52.3
QRL,7,22:52.3
SEND,7,22:52.3
VPN,7,22:52.3
VRC,7,22:52.3
WAX,7,22:52.3
XSH,7,22:52.3
ARE,6,22:52.3
ASAP,6,22:52.3
AWS,6,22:52.3
BLAS,6,22:52.3
BTS,6,22:52.3
COIN,6,22:52.3
DBS,6,22:52.3
ELF,6,22:52.3
ERC,6,22:52.3
ETC,6,22:52.3
EXP,6,22:52.3
FCT,6,22:52.3
ITS,6,22:52.3
ITT,6,22:52.3
KRW,6,22:52.3
LRC,6,22:52.3
NEX,6,22:52.3
PND,6,22:52.3
TAS,6,22:52.3
WTF,6,22:52.3
ZCG,6,22:52.3
ZRX,6,22:52.3
ARN,5,22:52.3
BCN,5,22:52.3
BIG,5,22:52.3
CURL,5,22:52.3
DAA,5,22:52.3
DAO,5,22:52.3
DGB,5,22:52.3
DNT,5,22:52.3
EDU,5,22:52.3
EOY,5,22:52.3
ETF,5,22:52.3
FED,5,22:52.3
ICON,5,22:52.3
INTS,5,22:52.3
LSK,5,22:52.3
LUN,5,22:52.3
MBRS,5,22:52.3
MVP,5,22:52.3
NAS,5,22:52.3
NDA,5,22:52.3
NEM,5,22:52.3
OKEX,5,22:52.3
ONE,5,22:52.3
PASC,5,22:52.3
QTUM,5,22:52.3
REAL,5,22:52.3
SOME,5,22:52.3
THEN,5,22:52.3
TNB,5,22:52.3
TOO,5,22:52.3
UASF,5,22:52.3
VIBE,5,22:52.3
XEM,5,22:52.3
ZEC,5,22:52.3
ALTS,4,22:52.3
ATS,4,22:52.3
BTG,4,22:52.3
BTW,4,22:52.3
CAD,4,22:52.3
